RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
192;25.25;4.42;20.17;24.58;74.8;9;60.6;69.6;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;-;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;-;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B
193;21.33;3.83;15.17;19;75.17;14.17;64.5;78.67;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;H;H;H;H;H;H;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;B;B;B;H;H;H;H;H;H;H;B;B;B;B;B;B;A;A;A;A;A
194;16.83;1.92;9.33;11.25;58;10.92;45.08;56;;A;A;A;A;A;B;B;H;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;-;B;B;B;B;B;B;B;B;B;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B
195;26.25;2.33;18.58;20.92;77;9.55;60.09;69.64;;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;A;B;B;B;A;A;-;A;A;A;A;B;B;B;A;A;A;A;A;A;A;B;B;-;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;-;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A
196;19;3.67;12.58;16.25;77.67;13.18;63.82;77;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;H;B;B;B;B;B;B;B;B;B;B;-;B;B;B;H;H;-;H;H;H;H;H;H;H;H;-;H;-;B;H;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;-;B;B;H;A;A;A;A;A;A;A;A;A;A;B;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A
197;19.42;3.25;12.08;15.33;53.82;8.42;47.67;56.08;;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;H;H;H;H;B;-;H;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;H;B;A;A;A;B;B;A;A;A;A;A;-;A;A;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A;A;B
198;-;-;-;-;-;-;-;-;;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;B;B;A;A;A;A;A;A;-;H;H;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
199;-;-;-;-;-;-;-;-;;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A
200;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;A;A;A;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;H;A;A;A;A;A;A;A;B;B;B;B;A;B;B;-;B;B;-;B;B;B;B;B;B;-;B;B;B;B;B;A;A;B;B;H;-;-;-;-;B;H;H;-;A;A;A;B;B;B;B;B;B;A;B;B;B;B;B;B;-;B;B;A;A;A;A;-;A;A;A;A;A;A;A;A;-;A;B;B;-;B;B
201;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;A;A;A;A;A;B;B;B;-;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;A;A;A;A;A;A;H;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;A;A;A;B;B;B;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B
202;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;H;H;H;H;H;H;H;-;H;H;H;-;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;B;H;H;H;H;H;H;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;-;B;B;B;B;B;B;A;-;A;A;H;H;A;A;A;A;A;A
203;-;-;-;-;-;-;-;-;;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;-;H;H;B;B;B;B;B;B;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;H;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A
204;-;-;-;-;-;-;-;-;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;-;A;-;B;B;B;A;B;B;-;B;H;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
205;-;-;-;-;-;-;-;-;;A;A;A;H;A;A;-;A;A;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;-;H;H;A;A;A;A;B;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;-;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;B;A;-;A;A;A;A;A;A;A;H;A;A;A;A;A;H;H;H;H;A
206;-;-;-;-;-;-;-;-;;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A
207;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B
208;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;H;H;-;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A
209;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;H;B;-;H;-;-;H;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;-;A;A;A;A;A;H;-;A;H;A;A;A;A;A;B;-;B;-;B;H;B;B;B;B;B;B;B;B;B;B;B;-;H;-;-;A;A;-;A;A;-;B;-;H;B;B;H;A;A;A;-;A;-;-;H;H;H;H;H;H;A;A;A;-;H;H;H;A;A;-;-;H;-;A;-;A;-;A;-;H;-;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;B;B;B;B;B;B;B;-;H;B;H;B;B;-;H;-;-;-;H;H;A;A;A;A;A;-;A;A;A;A;A
210;-;-;-;-;-;-;-;-;;B;B;B;B;B;-;B;B;H;B;B;B;B;B;H;H;H;H;H;H;H;H;H;H;H;H;H;-;H;H;H;H;H;H;H;A;A;A;A;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;H;H;H;H;H;B;B;B;B;B;B;B;B;B;-;H;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;H;A;H;H;H;H;B;H;H;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H
211;-;-;-;-;-;-;-;-;;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;A;A;A;A;A;A;A;A;A;-;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;A;-;A;H;H;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;-;A;A;-;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B
212;-;-;-;-;-;-;-;-;;A;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;H;A;A;A
213;-;-;-;-;-;-;-;-;;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;A;A;A;A;H;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;-;H;H;H;H;H;H;H;-;H;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
214;-;-;-;-;-;-;-;-;;A;A;A;H;H;H;H;H;H;H;H;H;H;H;H;A;H;H;H;H;H;H;H;H;H;B;B;-;B;B;B;B;B;B;B;B;H;B;H;H;H;-;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;-;A;A;H;H;B;B;H;B;B;-;-;B;B;B;H;H;A;A;A;B;H;-;-;B;B;B;B;B;-;B;-;H;B;H;H;H;H;H;A;-;H;H;H;H;H;H;H;H;H;H;A;-;H;H;H;H;H;H;-;H;-;H;B;-;-;H;H;-;A;A;A;A;-;H;H;H;H;H;-;H;H;-;-;H;H;H;-;H;H;H;H;H;B;B;H;B;-;H;H;-;H;-;-;H;B;H;H;H;H;H;H;H;-;A;H;A;A
215;-;-;-;-;-;-;-;-;;A;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;H;H;A;A;A
216;-;-;-;-;-;-;-;-;;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A
217;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;A;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
218;-;-;-;-;-;-;-;-;;B;A;A;-;A;A;-;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;H;A;A;-;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;H;A;A;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;-;A;H;H;H;B;B;-;A;A;A;A;A;A;A;A;B;B;B;-;-;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;-;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;H;-;A;H;A;A
219;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;-;A;A;-;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B
220;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
221;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;H;-;H;A;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;H
222;-;-;-;-;-;-;-;-;;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;B;B;B;B;-;-;B;H;H;A;A;A;A;A;A;A;A;A;-;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B
223;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;B;B;B;A;B;B;B;B;H;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B
224;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
225;-;-;-;-;-;-;-;-;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;H;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;-;A;A;A;A;A;A;B;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
